iter	Logloss
0	0.671644888
1	0.6467873321
2	0.6229346935
3	0.6058268407
4	0.5902947536
5	0.5772379932
6	0.5617729978
7	0.550131288
8	0.5404439365
9	0.5349959512
10	0.5297356644
11	0.5230210832
12	0.5160470893
13	0.5089255098
14	0.5013468984
15	0.4971806675
16	0.4920407597
17	0.4878830001
18	0.4837915096
19	0.4803143773
20	0.4775433018
21	0.4738605161
22	0.4714553434
23	0.4676050104
24	0.4650324506
25	0.4601543502
26	0.4568707234
27	0.4552454895
28	0.4533170073
29	0.451326012
30	0.4492815947
31	0.4473020996
32	0.4455900059
33	0.4444119594
34	0.4419788892
35	0.4397529904
36	0.4371963849
37	0.4364053854
38	0.4344652317
39	0.4321379767
40	0.4309998093
41	0.428968264
42	0.4274475469
43	0.4254294644
44	0.4232043164
45	0.4222827597
46	0.4201724281
47	0.4180915312
48	0.4170149145
49	0.4161061349
50	0.4140153552
51	0.4111312453
52	0.4086634901
53	0.4070180016
54	0.4059010988
55	0.4034488291
56	0.4026311327
57	0.4016685012
58	0.4003943047
59	0.3997419318
60	0.3980093444
61	0.394673643
62	0.3935535371
63	0.3922738006
64	0.3902302563
65	0.3884042777
66	0.3869388701
67	0.3845343382
68	0.3821372747
69	0.3805530026
70	0.3781891595
71	0.3763275804
72	0.3745147803
73	0.3732582957
74	0.371049529
75	0.3696590253
76	0.3683556607
77	0.366507323
78	0.3646454577
79	0.3628550219
80	0.3604020696
81	0.3590512646
82	0.3568352336
83	0.3544130222
84	0.3535248891
85	0.3514792137
86	0.3502109395
87	0.3485219449
88	0.3468123341
89	0.3452582729
90	0.3434987276
91	0.3410909282
92	0.3392333578
93	0.3380145346
94	0.3363502613
95	0.3341249675
96	0.3314969708
97	0.3296118019
98	0.3286958667
99	0.3277365247
100	0.326507484
101	0.3246277316
102	0.32227557
103	0.3202973406
104	0.31897737
105	0.3174501188
106	0.3161919282
107	0.3134319693
108	0.3120587015
109	0.3108030327
110	0.310184262
111	0.3091555542
112	0.3076889488
113	0.3053316212
114	0.3036809545
115	0.3019145111
116	0.3002791164
117	0.2987984303
118	0.2976580536
119	0.2972897273
120	0.2959925145
121	0.2947002749
122	0.2935294441
123	0.2933664186
124	0.2919897627
125	0.2898603562
126	0.2892257906
127	0.2876506181
128	0.2862654978
129	0.2851088841
130	0.2834331733
131	0.2818983354
132	0.2801355932
133	0.2785392506
134	0.2766949839
135	0.275585432
136	0.2748947053
137	0.2747566543
138	0.2744186996
139	0.272843361
