iter	Passed	Remaining
0	2	629
1	3	592
2	5	570
3	7	542
4	8	526
5	10	531
6	12	529
7	14	523
8	16	518
9	17	509
10	18	498
11	21	518
12	23	513
13	24	507
14	26	500
15	27	492
16	28	481
17	30	470
18	31	462
19	32	455
20	33	446
21	34	438
22	35	430
23	36	424
24	38	428
25	40	424
26	41	421
27	42	417
28	44	413
29	45	408
30	46	404
31	47	399
32	48	395
33	50	391
34	51	387
35	52	384
36	53	380
37	54	376
38	55	372
39	56	369
40	57	366
41	58	362
42	59	358
43	60	354
44	61	350
45	62	347
46	63	343
47	64	340
48	65	336
49	66	333
50	67	330
51	68	327
52	69	324
53	70	321
54	71	317
55	72	314
56	73	311
57	73	308
58	74	305
59	76	304
60	76	301
61	77	298
62	78	296
63	79	294
64	81	293
65	81	290
66	83	289
67	84	286
68	85	284
69	86	284
70	87	283
71	88	280
72	89	278
73	90	276
74	91	275
75	92	274
76	94	272
77	94	269
78	95	267
79	96	265
80	97	263
81	98	261
82	99	258
83	100	257
84	100	255
85	101	253
86	102	250
87	103	248
88	103	246
89	104	243
90	105	241
91	106	239
92	106	237
93	107	235
94	108	233
95	109	231
96	110	230
97	111	228
98	111	227
99	112	225
100	113	223
101	114	221
102	114	219
103	115	218
104	116	216
105	117	215
106	118	213
107	119	212
108	120	210
109	120	208
110	121	207
111	122	205
112	123	204
113	124	203
114	125	202
115	126	200
116	127	199
117	128	198
118	129	196
119	130	195
120	131	193
121	131	192
122	132	191
123	133	189
124	134	187
125	134	186
126	135	184
127	136	183
128	137	182
129	138	181
130	139	179
131	140	178
132	140	177
133	141	175
134	143	175
135	144	174
136	145	173
137	146	172
138	147	170
139	148	169
