iter	Logloss
0	0.6833438875
1	0.6730779842
2	0.6633816317
3	0.6545562669
4	0.6457613758
5	0.6374983376
6	0.6298158279
7	0.6213313109
8	0.6141655201
9	0.6069856577
10	0.5999073381
11	0.5918990061
12	0.5845369619
13	0.5782050171
14	0.5716989915
15	0.5639866154
16	0.5586264496
17	0.5527349457
18	0.5463736243
19	0.5400808153
20	0.5342846418
21	0.5288980902
22	0.5232333845
23	0.5172833398
24	0.5123135307
25	0.5062879427
26	0.5006645174
27	0.49625184
28	0.4917052867
29	0.4872657075
30	0.4813165453
31	0.4774051381
32	0.4733974709
33	0.4692360769
34	0.4655182849
35	0.4609612377
36	0.4563657255
37	0.4523957415
38	0.448767742
39	0.4441518185
40	0.4408406363
41	0.4368809074
42	0.4334066512
43	0.429954108
44	0.4257158134
45	0.4228903074
46	0.4198534695
47	0.4173794073
48	0.4149501552
49	0.4123169388
50	0.4103879248
51	0.4076751763
52	0.4049110309
53	0.4025390944
54	0.3997264631
55	0.3977364348
56	0.3953204327
57	0.3932489926
58	0.3908061362
59	0.3889923891
60	0.3870923777
61	0.3849067604
62	0.3829702743
63	0.3805980126
64	0.3784403347
65	0.3764971949
66	0.3737254763
67	0.3711516943
68	0.3695307458
69	0.3678391001
70	0.3662260957
71	0.3645536527
72	0.3626148041
73	0.3605966691
74	0.3584723681
75	0.3570307481
76	0.355658665
77	0.3542139928
78	0.35277764
79	0.3513394336
80	0.3493730857
81	0.3477419839
82	0.3463534374
83	0.3449460561
84	0.3433559795
85	0.341909986
86	0.3402547308
87	0.3390240419
88	0.337465918
89	0.3363539868
90	0.335027493
91	0.3333388889
92	0.3322508403
93	0.3309549968
94	0.329530752
95	0.3284578558
96	0.3272153944
97	0.3256512491
98	0.3241133187
99	0.3226595648
100	0.3218159937
101	0.3208679716
102	0.3200069173
103	0.3188797755
104	0.3179936485
105	0.3165120941
106	0.3152452617
107	0.3142414859
108	0.313165131
109	0.3123162219
110	0.3113815159
111	0.3105787387
112	0.3097069142
113	0.3087436826
114	0.3080303166
115	0.3071956176
116	0.3062679352
117	0.3055935484
118	0.3045452611
119	0.3034231325
