iter	Passed	Remaining
0	1	1684
1	2	1405
2	3	1289
3	4	1235
4	6	1200
5	7	1171
6	8	1153
7	9	1141
8	10	1170
9	11	1157
10	12	1145
11	13	1135
12	14	1128
13	15	1122
14	16	1115
15	17	1098
16	18	1094
17	19	1089
18	21	1086
19	22	1082
20	23	1079
21	24	1076
22	25	1073
23	26	1070
24	27	1067
25	28	1064
26	29	1045
27	30	1044
28	31	1043
29	32	1041
30	33	1040
31	34	1038
32	35	1037
33	36	1036
34	37	1034
35	38	1033
36	39	1032
37	40	1030
38	41	1029
39	42	1028
40	43	1027
41	44	1026
42	46	1025
43	47	1023
44	48	1021
45	49	1020
46	50	1019
47	51	1017
48	52	1016
49	53	1015
50	54	1014
51	55	1013
52	56	1012
53	57	1011
54	58	1010
55	59	1009
56	60	1008
57	62	1006
58	63	1005
59	64	1004
60	65	1003
61	66	1002
62	67	1001
63	68	999
64	69	999
65	70	998
66	71	997
67	72	996
68	73	994
69	74	993
70	75	992
71	76	991
72	78	990
73	79	989
74	80	988
75	81	986
76	82	985
77	83	984
78	84	983
79	85	982
80	86	981
81	87	983
82	88	983
83	90	982
84	91	980
85	92	979
86	93	978
87	94	977
88	95	976
89	96	975
90	97	973
91	98	972
92	99	971
93	100	970
94	101	969
95	102	968
96	103	967
97	105	966
98	106	965
99	107	964
100	108	962
101	109	961
102	110	960
103	111	959
104	112	958
105	113	957
106	114	956
107	115	955
108	116	954
109	117	953
110	118	952
111	119	951
112	121	950
113	121	947
114	123	946
115	124	945
116	125	944
117	126	943
118	127	942
119	128	941
120	129	940
121	130	938
122	131	937
123	132	936
124	133	935
125	134	934
126	135	933
127	136	932
128	138	931
129	139	930
130	140	929
131	141	928
132	142	927
133	143	926
134	144	925
135	145	924
136	146	923
137	147	922
138	148	921
139	149	920
140	150	919
141	151	918
142	153	917
143	154	916
144	155	915
145	156	914
146	157	913
147	158	912
148	159	911
149	160	909
150	161	908
151	162	907
152	163	907
153	164	905
154	165	904
155	167	903
156	168	902
157	169	901
158	170	900
159	171	899
160	172	898
161	173	897
162	174	896
163	175	895
164	176	894
165	177	893
166	178	892
167	179	891
168	181	890
169	182	888
170	183	887
171	184	886
172	185	885
173	186	884
174	187	883
175	188	882
176	189	881
177	190	880
178	191	879
179	192	878
180	193	876
181	194	875
182	195	874
183	197	873
184	198	872
185	199	871
186	200	870
187	201	869
188	202	868
189	203	867
190	204	866
191	205	865
192	206	864
193	207	863
194	208	862
195	209	861
196	211	860
197	212	859
198	213	857
199	214	856
200	215	855
201	216	854
202	217	853
203	218	852
204	219	851
205	220	850
206	221	849
207	222	848
208	223	847
209	225	846
210	226	845
211	227	844
212	228	843
213	229	842
214	230	841
215	231	839
216	232	838
217	233	837
218	234	836
219	235	835
220	236	834
221	237	833
222	238	832
223	239	831
224	241	830
225	242	829
226	243	828
227	244	826
228	245	825
229	246	824
230	247	823
231	248	822
232	249	821
233	250	820
234	251	819
235	252	818
236	253	817
237	254	816
238	255	815
239	257	814
240	258	812
241	259	811
242	260	810
243	261	809
244	262	808
245	263	807
246	264	806
247	265	805
248	266	804
249	267	803
250	268	802
251	269	800
252	270	799
253	271	798
254	273	797
255	274	796
256	275	795
257	276	794
258	277	793
259	278	792
260	279	791
261	280	790
262	281	789
263	282	788
264	283	787
265	284	786
266	285	785
267	287	784
268	288	782
269	289	781
270	290	780
271	291	779
272	292	778
273	293	777
274	294	776
275	295	775
276	296	774
277	297	773
278	298	772
279	299	771
280	300	770
281	302	769
282	303	768
283	304	767
284	305	765
285	306	764
286	307	763
287	308	762
288	309	761
289	310	760
290	311	759
291	312	758
292	313	757
293	314	756
294	315	755
295	317	754
296	318	753
297	319	752
298	320	750
299	321	749
300	322	748
301	323	747
302	324	746
303	325	745
304	326	744
305	327	743
306	328	742
307	329	741
308	331	740
309	332	739
310	333	738
311	334	737
312	335	736
313	336	735
314	337	734
315	338	732
316	339	731
317	340	730
318	341	729
319	343	728
320	344	727
321	345	726
322	346	725
323	347	724
324	348	723
325	349	722
326	350	721
327	351	720
328	352	719
329	353	718
330	354	717
331	355	716
332	356	714
333	358	713
334	359	712
335	360	711
336	361	710
337	362	709
338	363	708
339	364	707
340	365	706
341	366	705
342	367	704
343	368	703
344	369	702
345	370	700
346	371	699
347	372	698
348	374	697
349	375	696
350	376	695
351	377	694
352	378	693
353	379	692
354	380	691
355	381	690
356	382	689
357	383	688
358	384	686
359	385	685
360	386	684
361	387	683
362	389	682
363	390	681
364	391	680
365	392	679
366	393	678
367	394	677
368	395	676
369	396	675
370	397	674
371	398	673
372	399	672
373	400	670
374	401	669
375	403	668
376	404	667
377	405	666
378	406	665
379	407	664
380	408	663
381	409	662
382	410	661
383	411	660
384	412	659
385	413	658
386	414	657
387	415	656
388	417	655
389	418	654
390	419	652
391	420	651
392	421	650
393	422	649
394	423	648
395	424	647
396	425	646
397	426	645
398	427	644
399	428	643
400	429	642
401	431	641
402	432	640
403	433	639
404	434	638
405	435	636
406	436	635
407	437	634
408	438	633
409	439	632
410	440	631
411	441	630
412	442	629
413	443	628
414	445	627
415	446	626
416	447	625
417	448	624
418	449	623
419	450	622
420	451	620
421	452	619
422	453	618
423	454	617
424	455	616
425	456	615
426	457	614
427	458	613
428	460	612
429	461	611
430	462	610
431	463	609
432	464	608
433	465	606
434	466	605
435	467	604
436	468	603
437	469	602
438	470	601
439	471	600
440	472	599
441	473	598
442	475	597
443	476	596
444	477	595
445	478	594
446	479	593
447	480	592
448	481	590
449	482	589
450	483	588
451	484	587
452	485	586
453	486	585
454	488	584
455	489	583
456	490	582
457	491	581
458	492	580
459	493	579
460	494	578
461	495	576
462	496	575
463	497	574
464	498	573
465	499	572
466	500	571
467	501	570
468	503	569
469	504	568
470	505	567
471	506	566
472	507	565
473	508	564
474	509	563
475	510	561
476	511	560
477	512	559
478	513	558
479	514	557
480	515	556
481	516	555
482	517	554
483	519	553
484	520	552
485	521	551
486	522	550
487	523	549
488	524	548
489	525	547
490	526	545
491	527	544
492	528	543
493	529	542
494	530	541
495	532	540
496	533	539
497	534	538
498	535	537
499	536	536
500	537	535
501	538	534
502	539	533
503	540	531
504	541	530
505	542	529
506	544	529
507	546	528
508	547	527
509	548	526
510	548	525
511	549	524
512	550	523
513	552	521
514	553	520
515	554	519
516	555	518
517	556	517
518	557	516
519	558	515
520	559	514
521	560	513
522	561	512
523	562	511
524	563	510
525	564	509
526	566	508
527	567	506
528	568	505
529	569	504
530	570	503
531	571	502
532	572	501
533	573	500
534	574	499
535	575	498
536	576	497
537	577	496
538	579	495
539	580	494
540	581	493
541	582	492
542	583	490
543	584	489
544	585	488
545	586	487
546	587	486
547	588	485
548	589	484
549	590	483
550	591	482
551	592	481
552	594	480
553	595	479
554	596	477
555	597	476
556	598	475
557	599	474
558	600	473
559	601	472
560	602	471
561	603	470
562	604	469
563	605	468
564	606	467
565	608	466
566	609	465
567	610	464
568	611	462
569	612	461
570	613	460
571	614	459
572	615	458
573	616	457
574	617	456
575	618	455
576	619	454
577	620	453
578	621	452
579	623	451
580	624	450
581	625	449
582	626	447
583	627	446
584	628	445
585	629	444
586	630	443
587	631	442
588	632	441
589	633	440
590	634	439
591	635	438
592	636	437
593	637	436
594	639	434
595	640	433
596	641	432
597	642	431
598	643	430
599	644	429
600	645	428
601	646	427
602	647	426
603	648	425
604	649	424
605	650	423
606	651	422
607	653	421
608	654	419
609	655	418
610	656	417
611	657	416
612	658	415
613	659	414
614	660	413
615	661	412
616	662	411
617	663	410
618	664	409
619	665	408
620	667	407
621	668	406
622	669	404
623	670	403
624	671	402
625	672	401
626	673	400
627	674	399
628	675	398
629	676	397
630	677	396
631	678	395
632	679	394
633	681	393
634	682	392
635	683	391
636	684	389
637	685	388
638	686	387
639	687	386
640	688	385
641	689	384
642	690	383
643	691	382
644	692	381
645	693	380
646	694	379
647	695	378
648	697	376
649	698	375
650	699	374
651	700	373
652	701	372
653	702	371
654	703	370
655	704	369
656	705	368
657	706	367
658	707	366
659	708	365
660	709	364
661	710	362
662	711	361
663	713	360
664	714	359
665	715	358
666	716	357
667	717	356
668	718	355
669	719	354
670	720	353
671	721	352
672	722	351
673	723	350
674	724	349
675	725	347
676	727	346
677	728	345
678	729	344
679	730	343
680	731	342
681	732	341
682	733	340
683	734	339
684	735	338
685	736	337
686	737	336
687	738	335
688	739	333
689	741	332
690	742	331
691	743	330
692	744	329
693	745	328
694	746	327
695	747	326
696	748	325
697	749	324
698	750	323
699	751	322
700	752	321
701	754	320
702	755	319
703	756	317
704	757	316
705	758	315
706	759	314
707	760	313
708	761	312
709	762	311
710	763	310
711	764	309
712	765	308
713	766	307
714	768	306
715	769	305
716	770	303
717	771	302
718	772	301
719	773	300
720	774	299
721	775	298
722	776	297
723	777	296
724	778	295
725	779	294
726	780	293
727	782	292
728	783	291
729	784	290
730	785	288
731	786	287
732	787	286
733	788	285
734	789	284
735	790	283
736	791	282
737	792	281
738	793	280
739	794	279
740	795	278
741	797	277
742	798	276
743	799	274
744	800	273
745	801	272
746	802	271
747	803	270
748	804	269
