id,MntMeatProducts,Recency,Year_Birth,NumStorePurchases,NumCatalogPurchases,Income,MntGoldProdsurchases,MntWines,Response
1,429,91,2007,35,4,44431,345,460,0
2,4,83,1962,79,82,107161,436,310,0
3,111,21,1980,98,70,70963,101,198,1
4,455,10,1961,47,42,202393,474,210,0
5,206,27,1936,49,17,20074,452,422,1
6,478,3,1963,49,54,269987,469,384,0
7,188,60,1978,55,36,139315,435,334,1
8,473,67,1954,46,90,121672,312,11,0
9,159,55,2008,20,100,14275,233,408,1
10,121,76,1957,18,78,181262,230,273,0
11,342,32,1930,6,77,50207,292,308,0
12,437,43,1981,70,47,48267,229,67,0
13,120,33,1998,61,14,173507,18,38,0
14,394,54,1976,33,31,263671,479,398,1
15,343,25,1932,54,97,59992,138,19,1
16,419,58,1971,35,63,207298,242,479,1
17,372,80,1998,51,33,298104,451,55,1
18,301,76,1992,25,13,56137,217,76,1
19,468,52,2012,23,92,11742,52,292,1
20,343,10,1927,11,91,61112,226,103,1
21,217,22,1965,92,23,144594,366,219,0
22,257,16,1960,68,38,270683,48,347,0
23,104,20,2018,29,73,206628,337,24,0
24,453,36,1989,37,47,127146,252,57,0
25,117,86,2021,66,5,47113,351,494,1
26,251,74,2007,23,13,211387,70,320,1
27,387,63,1959,42,57,181922,182,497,0
28,252,85,1969,44,55,266670,46,357,0
29,19,58,2007,86,93,78845,437,116,1
30,255,27,1921,85,19,299684,190,129,0
31,257,92,1954,51,98,215646,354,475,0
32,191,62,1986,42,23,199101,65,39,1
33,487,8,1970,87,69,32496,325,300,0
34,377,58,1967,84,2,86332,384,380,0
35,151,31,2012,13,33,217535,42,244,1
36,490,3,2008,69,73,294887,380,433,0
37,297,5,2009,98,6,142992,118,313,1
38,329,24,1985,60,80,23034,293,323,0
39,30,97,1960,4,61,10037,438,298,1
40,162,86,1985,64,95,184298,374,239,0
41,30,55,1961,98,3,234677,283,339,0
42,156,5,1977,31,36,232122,219,138,0
43,97,80,2023,99,63,53645,101,103,0
44,114,1,1995,98,32,155774,70,216,1
45,296,12,1960,6,10,128047,362,192,1
46,201,98,1970,21,59,41799,192,273,1
47,483,62,2000,13,80,147350,171,260,0
48,84,54,1974,32,65,125659,284,53,1
49,98,3,1926,35,30,62366,364,16,0
50,118,28,1948,99,86,204914,380,23,0
51,432,37,1948,77,77,74923,471,227,1
52,472,37,2020,53,78,81791,282,106,1
53,346,3,1923,15,65,299480,185,299,0
54,178,72,1989,23,8,72746,386,245,1
55,322,61,1960,56,34,17584,96,321,0
56,165,57,1973,50,9,201160,253,224,0
57,19,55,1985,79,25,105081,417,183,1
58,330,98,1947,9,21,243433,150,63,1
59,354,28,1937,49,35,272639,69,65,1
60,372,85,1935,64,53,106788,161,46,1
61,252,98,2015,89,64,84502,239,168,1
62,195,12,1971,19,59,182729,457,373,0
63,50,60,1970,53,90,150846,386,217,0
64,176,41,1975,80,8,169394,69,482,0
65,436,85,1968,56,2,71283,175,108,1
66,167,22,1991,62,70,116039,482,88,1
67,286,67,1975,6,1,24000,157,465,0
68,368,8,2022,97,1,158321,276,480,0
69,418,25,1957,100,73,283709,387,206,1
70,454,53,1931,24,92,36128,369,318,1
71,369,49,1939,26,77,277785,117,138,1
72,484,47,1925,71,8,186441,465,274,0
73,105,86,2019,72,37,230731,237,80,0
74,190,89,1984,58,8,227068,10,17,0
75,421,80,1943,66,40,297845,277,491,0
76,297,53,1924,81,33,96476,268,408,1
77,299,28,1941,89,44,58300,269,178,0
78,480,8,1962,80,99,289437,400,104,1
79,185,86,1936,40,10,77883,45,83,1
80,424,82,1996,87,10,209540,162,36,0
81,149,60,1959,20,9,80530,107,239,0
82,403,11,1987,91,64,185222,150,486,1
83,156,78,1954,98,30,27218,13,5,0
84,129,94,1941,87,31,37055,387,121,1
85,14,76,1921,48,51,197447,220,442,1
86,226,93,1960,84,84,245545,139,56,1
87,347,15,2013,8,46,279028,449,142,0
88,389,66,1955,78,24,94610,486,215,1
89,492,96,1971,56,67,297678,123,398,0
90,311,1,1994,91,26,247545,418,317,0
91,69,52,1957,26,40,222087,287,474,1
92,159,31,1948,54,15,173842,342,269,1
93,187,84,1937,73,81,59553,395,423,1
94,23,49,2009,96,50,185502,417,346,0
95,219,60,1975,4,61,50723,186,258,0
96,235,56,1950,62,32,278478,452,12,0
97,273,82,1923,75,51,94834,163,90,0
98,270,92,1980,25,32,235208,168,360,0
99,142,58,2020,86,32,149465,190,108,1
100,367,96,1939,94,4,212010,16,393,0
101,262,32,1937,69,70,53808,314,421,0
102,221,84,2022,12,6,198463,284,378,1
103,285,76,1980,88,69,213858,370,332,0
104,434,26,1977,53,87,124824,293,146,0
105,71,33,2014,67,60,36158,77,93,0
